0.04706,0.04706,56.72638,4976.40265,-0.53776,45.0001,3.1070502172634438,1.1574579573419868,0.0
0.0941,0.0941,56.6539,4974.79879,-0.57509,45.00026,3.1368645317003954,1.1685645739315762,0.0
0.14112,0.14112,56.57661,4973.18697,-0.61194,45.00048,3.169095858967462,1.1805715913958188,0.0
0.18813,0.18813,56.49458,4971.56571,-0.64828,45.00075,3.2037800961052043,1.1934923823268306,0.0
0.23512,0.23513,56.40788,4969.93348,-0.68405,45.00107,3.240954854813552,1.2073409580724594,0.0
0.2821,0.28211,56.3166,4968.28873,-0.71923,45.00145,3.280659267748801,1.2221318965768175,0.0
0.32907,0.32908,56.22082,4966.6299,-0.75375,45.00188,3.3229337697486754,1.2378802608808617,0.0
0.37601,0.37603,56.12063,4964.95535,-0.78758,45.00236,3.3678198516626474,1.2546015074177106,0.0
0.42295,0.42296,56.01612,4963.26344,-0.82068,45.0029,3.4153597843662715,1.2723113832007213,0.0
0.46986,0.46989,55.90739,4961.55249,-0.85299,45.0035,3.46559631043064,1.2910258109622508,0.0
0.51676,0.51679,55.79457,4959.82077,-0.88447,45.00414,3.518572300867622,1.3107607612822243,0.0
0.56364,0.56369,55.67775,4958.06652,-0.91508,45.00484,3.5743303743208896,1.3315321107267741,0.0
0.61051,0.61056,55.55706,4956.28794,-0.94476,45.00559,3.6329124760693454,1.3533554850159382,0.0
0.65736,0.65742,55.43263,4954.48323,-0.97346,45.0064,3.6943594142550094,1.3762460862563455,0.0
0.70419,0.70427,55.30458,4952.65049,-1.00114,45.00726,3.7587103508341513,1.4002185033071193,0.0
0.751,0.7511,55.17307,4950.78785,-1.02775,45.00817,3.826002244899482,1.4252865044027472,0.0
0.7978,0.79791,55.03823,4948.89337,-1.05323,45.00913,3.896269246241714,1.4514628112388048,0.0
0.84457,0.84471,54.90022,4946.96508,-1.07753,45.01015,3.9695420373237815,1.4787588538400387,0.0
0.89133,0.89149,54.7592,4945.00101,-1.1006,45.01121,4.045847122220901,1.5071845056718316,0.0
0.93807,0.93826,54.61533,4942.99912,-1.12239,45.01233,4.1252060615850095,1.536747798644324,0.0
0.98479,0.98501,54.46878,4940.95739,-1.14285,45.0135,4.20763465328609,1.5674546178797535,0.0
1.03149,1.03174,54.31975,4938.87374,-1.16192,45.01472,4.293142059117872,1.5993083763873444,0.0
1.07817,1.07845,54.1684,4936.7461,-1.17954,45.01599,4.3817298788192085,1.6323096701119109,0.0
1.12483,1.12515,54.01494,4934.57238,-1.19568,45.01732,4.473391173656991,1.6664559141928013,0.0
1.17147,1.17182,53.85956,4932.35048,-1.21026,45.01869,4.56810944298101,1.7017409617036543,0.0
1.21809,1.21848,53.70247,4930.07831,-1.22324,45.02011,4.66585755846005,1.7381547066273033,0.0
1.26469,1.26512,53.54389,4927.75377,-1.23458,45.02158,4.766596662167597,1.775682673363707,0.0
1.31126,1.31174,53.38403,4925.37478,-1.2442,45.0231,4.870275036294291,1.814305595668103,0.0
1.35781,1.35835,53.22312,4922.93927,-1.25208,45.02468,4.9768269540151255,1.8539989885687982,0.0
1.40434,1.40493,53.06139,4920.44522,-1.25814,45.02629,5.086171522908972,1.8947327175105153,0.0
1.45084,1.45149,52.89908,4917.89062,-1.26236,45.02796,5.198211534303161,1.9364705697049702,0.0
1.49732,1.49803,52.73644,4915.27354,-1.26467,45.02968,5.312832333969203,1.9791698334353163,0.0
1.54377,1.54455,52.57371,4912.59207,-1.26505,45.03144,5.429900731673979,2.022780891835272,0.0
1.5902,1.59104,52.41116,4909.8444,-1.26344,45.03325,5.549263969135249,2.067246838425389,0.0
1.63659,1.63752,52.24902,4907.02878,-1.25981,45.0351,5.670748767955327,2.112503122443301,0.0
1.68297,1.68397,52.08759,4904.14356,-1.25411,45.03701,5.7941604808963865,2.1584772326714403,0.0
1.72931,1.73039,51.92711,4901.18721,-1.24633,45.03896,5.919282371525161,2.2050884290857367,0.0
1.77563,1.7768,51.76786,4898.1583,-1.23642,45.04095,6.045875048532988,2.2522475321249495,0.0
1.82192,1.82317,51.61012,4895.05554,-1.22437,45.04299,6.173676081940523,2.299856779716823,0.0
1.86817,1.86953,51.45417,4891.87779,-1.21016,45.04507,6.302399828823965,2.347809762356525,0.0
1.9144,1.91585,51.30027,4888.62406,-1.19377,45.0472,6.431737495987683,2.3959914464538437,0.0
1.96059,1.96215,51.14872,4885.29356,-1.17519,45.04937,6.561357466110453,2.444278295831248,0.0
2.00676,2.00842,50.99978,4881.88567,-1.15442,45.05159,6.690905912265923,2.4925385006489247,0.0
2.05289,2.05467,50.85374,4878.39997,-1.13146,45.05385,6.820007723151183,2.5406323220767657,0.0
2.09898,2.10088,50.71088,4874.83629,-1.10633,45.05615,6.9482677579648415,2.5884125597694743,0.0
2.14504,2.14707,50.57146,4871.19464,-1.07904,45.05849,7.075272445503903,2.635725147572221,0.0
2.19107,2.19322,50.43577,4867.47531,-1.0496,45.06088,7.200591736713669,2.6824098808968584,0.0
2.23706,2.23935,50.30406,4863.67882,-1.01807,45.0633,7.323781413764097,2.7283012769136223,0.0
2.28301,2.28544,50.17661,4859.80597,-0.98447,45.06577,7.444385751650449,2.7732295660674002,0.0
2.32893,2.3315,50.05365,4855.8578,-0.94886,45.06828,7.561940520597457,2.817021810552284,0.0
2.37481,2.37753,49.93545,4851.83565,-0.91128,45.07082,7.675976309242326,2.8595031422846775,0.0
2.42064,2.42352,49.82224,4847.74114,-0.87181,45.07341,7.786022139965676,2.900498109709193,0.0
2.46644,2.46948,49.71424,4843.57614,-0.83052,45.07603,7.891609338995524,2.9398321195142203,0.0
2.51217,2.51544,49.60989,4839.34603,-0.81586,45.16357,7.9943079805114845,2.978090065642801,36.999999368848044
2.55778,2.56143,49.50758,4835.05499,-0.79985,45.25231,8.095804990646469,3.0159003724651434,36.999999368848044
2.60328,2.60745,49.40746,4830.70342,-0.78251,45.34226,8.195834690149393,3.0531640674697775,36.999999368848044
2.64867,2.65351,49.30972,4826.29187,-0.76386,45.43339,8.294120943457452,3.0897782828939944,36.999999368848044
2.69395,2.6996,49.21449,4821.82108,-0.74393,45.52569,8.39038400517854,3.1256388062186904,36.999999368848044
2.73911,2.74572,49.12195,4817.29193,-0.72275,45.61914,8.48434198349321,3.1606406253241,36.999999368848044
2.78415,2.79188,49.03225,4812.70547,-0.70034,45.71372,8.575712409400806,3.194678513075274,36.999999368848044
2.82907,2.83806,48.94552,4808.06292,-0.67675,45.80939,8.664213899784857,3.2276476468576902,36.999999368848044
2.87387,2.88429,48.86193,4803.36568,-0.65202,45.90613,8.749567900032758,3.2594442577489415,36.999999368848044
2.91855,2.93054,48.78159,4798.61529,-0.6262,46.00391,8.831500489684625,3.289966303170439,36.999999368848044
2.96311,2.97683,48.70464,4793.81346,-0.59933,46.10269,8.909744232605396,3.319114156125205,36.999999368848044
3.00754,3.02315,48.6312,4788.96208,-0.57146,46.20243,8.98404005139753,3.3467913034659174,36.999999368848044
3.05185,3.0695,48.56138,4784.06318,-0.54266,46.3031,9.054139104228996,3.3729050450627236,36.999999368848044
3.09603,3.11589,48.4953,4779.11893,-0.51299,46.40464,9.119804641172395,3.3973671853384007,36.999999368848044
3.14009,3.16231,48.43305,4774.13166,-0.48251,46.50701,9.18081381636188,3.420094708344494,36.999999368848044
